Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,WeekNumber
2022-10-03 00:00:00-04:00,3706.739990234375,3706.739990234375,3620.72998046875,3639.659912109375,3639.659912109375,4449660000,0.0,0.0,0
2022-10-24 00:00:00-04:00,3762.010009765625,3905.419921875,3741.64990234375,3901.06005859375,3901.06005859375,23555090000,0.0,0.0,3
2022-10-31 00:00:00-04:00,3881.85009765625,3911.7900390625,3698.14990234375,3770.550048828125,3770.550048828125,24226300000,0.0,0.0,4
2022-11-07 00:00:00-05:00,3780.7099609375,4001.47998046875,3744.219970703125,3992.929931640625,3992.929931640625,24968840000,0.0,0.0,5
2022-11-14 00:00:00-05:00,3977.969970703125,4028.840087890625,3906.5400390625,3965.340087890625,3965.340087890625,21831700000,0.0,0.0,6
2022-11-21 00:00:00-05:00,3956.22998046875,4034.02001953125,3933.340087890625,4026.1201171875,4026.1201171875,12724860000,0.0,0.0,7
2022-11-28 00:00:00-05:00,4005.360107421875,4100.509765625,3937.64990234375,4071.699951171875,4071.699951171875,22280580000,0.0,0.0,8
2022-12-19 00:00:00-05:00,3853.7900390625,3889.820068359375,3764.489990234375,3844.820068359375,3844.820068359375,18506410000,0.0,0.0,11
2022-12-26 00:00:00-05:00,3843.340087890625,3858.18994140625,3780.780029296875,3839.5,3839.5,12097370000,0.0,0.0,12
2023-01-09 00:00:00-05:00,3910.820068359375,4003.949951171875,3877.2900390625,3999.090087890625,3999.090087890625,20846120000,0.0,0.0,14
2023-02-13 00:00:00-05:00,4096.6201171875,4159.77001953125,4047.949951171875,4079.090087890625,4079.090087890625,19642940000,0.0,0.0,19
2023-03-13 00:00:00-04:00,3835.1201171875,3964.4599609375,3808.860107421875,3916.639892578125,3916.639892578125,33867970000,0.0,0.0,23
2023-03-20 00:00:00-04:00,3917.469970703125,4039.489990234375,3909.159912109375,3970.989990234375,3970.989990234375,24375960000,0.0,0.0,24
2023-03-27 00:00:00-04:00,3982.929931640625,4110.75,3951.530029296875,4109.31005859375,4109.31005859375,20849370000,0.0,0.0,25
2023-04-03 00:00:00-04:00,4102.2001953125,4133.1298828125,4069.840087890625,4105.02001953125,4105.02001953125,15917210000,0.0,0.0,26
2023-04-17 00:00:00-04:00,4137.169921875,4169.47998046875,4113.85986328125,4133.52001953125,4133.52001953125,18104210000,0.0,0.0,28
2023-05-08 00:00:00-04:00,4136.97998046875,4154.27978515625,4098.919921875,4124.080078125,4124.080078125,18795580000,0.0,0.0,31
2023-07-03 00:00:00-04:00,4450.47998046875,4456.4599609375,4385.0498046875,4398.9501953125,4398.9501953125,12829400000,0.0,0.0,39
2023-07-17 00:00:00-04:00,4508.85986328125,4578.43017578125,4504.89990234375,4536.33984375,4536.33984375,19075880000,0.0,0.0,41
2023-07-24 00:00:00-04:00,4543.39013671875,4607.06982421875,4528.56005859375,4582.22998046875,4582.22998046875,20193230000,0.0,0.0,42
2023-08-07 00:00:00-04:00,4491.580078125,4527.3701171875,4443.97998046875,4464.0498046875,4464.0498046875,19439590000,0.0,0.0,44
2023-08-21 00:00:00-04:00,4380.27978515625,4458.2998046875,4356.2900390625,4405.7099609375,4405.7099609375,18106530000,0.0,0.0,46
2023-08-28 00:00:00-04:00,4426.02978515625,4541.25,4414.97998046875,4515.77001953125,4515.77001953125,16568780000,0.0,0.0,47
2023-09-11 00:00:00-04:00,4480.97998046875,4511.990234375,4447.2099609375,4450.31982421875,4450.31982421875,20916040000,0.0,0.0,49
2023-09-18 00:00:00-04:00,4445.1298828125,4466.35986328125,4316.490234375,4320.06005859375,4320.06005859375,17096470000,0.0,0.0,50
2023-09-25 00:00:00-04:00,4310.6201171875,4338.509765625,4238.6298828125,4288.0498046875,4288.0498046875,18256060000,0.0,0.0,51
